"","snp.dists.0.8.2","ST1","variable","ST2","value"
"2291","SGV061",654,"SGV033",654,22
"2292","SGV062",654,"SGV033",654,13
"2293","SGV063",654,"SGV033",654,3
"2294","SGV064",654,"SGV033",654,20
"2295","SGV065",654,"SGV033",654,17
"2296","SGV066",654,"SGV033",654,8
"2297","SGV067",654,"SGV033",654,19
"2298","SGV068",654,"SGV033",654,13
"2299","SGV069",654,"SGV033",654,21
"2300","SGV070",654,"SGV033",654,16
"2301","SGV071",654,"SGV033",654,9
"2302","SGV072",654,"SGV033",654,17
"2303","SGV073",654,"SGV033",654,16
"2304","SGV075",654,"SGV033",654,14
"2305","SGV077",654,"SGV033",654,15
"2306","SGV078",654,"SGV033",654,14
"2307","SGV079",654,"SGV033",654,23
"2308","SGV080",654,"SGV033",654,17
"2313","SGV004",654,"SGV034",654,103
"2329","SGV021",654,"SGV034",654,15
"2330","SGV022",654,"SGV034",654,17
"2331","SGV023",654,"SGV034",654,9
"2332","SGV025",654,"SGV034",654,15
"2333","SGV026",654,"SGV034",654,15
"2335","SGV028",654,"SGV034",654,3
"2336","SGV029",654,"SGV034",654,16
"2337","SGV030",654,"SGV034",654,20
"2338","SGV031",654,"SGV034",654,9
"2339","SGV032",654,"SGV034",654,11
"2340","SGV033",654,"SGV034",654,19
"2341","SGV034",654,"SGV034",654,0
"2342","SGV035",654,"SGV034",654,15
"2343","SGV036",654,"SGV034",654,15
"2344","SGV037",654,"SGV034",654,18
"2345","SGV038",654,"SGV034",654,12
"2346","SGV039",654,"SGV034",654,14
"2347","SGV040",654,"SGV034",654,14
"2348","SGV041",654,"SGV034",654,18
"2349","SGV042",654,"SGV034",654,18
"2350","SGV043",654,"SGV034",654,21
"2351","SGV044",654,"SGV034",654,19
"2352","SGV045",654,"SGV034",654,7
"2353","SGV046",654,"SGV034",654,19
"2354","SGV047",654,"SGV034",654,23
"2355","SGV048",654,"SGV034",654,19
"2356","SGV049",654,"SGV034",654,5
"2357","SGV050",654,"SGV034",654,17
"2358","SGV051",654,"SGV034",654,14
"2359","SGV052",654,"SGV034",654,16
"2360","SGV053",654,"SGV034",654,17
"2361","SGV054",654,"SGV034",654,15
"2362","SGV055",654,"SGV034",654,18
"2363","SGV056",654,"SGV034",654,18
"2364","SGV057",654,"SGV034",654,16
"2365","SGV058",654,"SGV034",654,16
"2366","SGV059",654,"SGV034",654,14
"2367","SGV060",654,"SGV034",654,5
"2368","SGV061",654,"SGV034",654,23
"2369","SGV062",654,"SGV034",654,16
"2370","SGV063",654,"SGV034",654,18
"2371","SGV064",654,"SGV034",654,13
"2372","SGV065",654,"SGV034",654,18
"2373","SGV066",654,"SGV034",654,19
"2374","SGV067",654,"SGV034",654,20
"2375","SGV068",654,"SGV034",654,24
"2376","SGV069",654,"SGV034",654,14
"2377","SGV070",654,"SGV034",654,17
"2378","SGV071",654,"SGV034",654,10
"2379","SGV072",654,"SGV034",654,4
"2380","SGV073",654,"SGV034",654,17
"2381","SGV075",654,"SGV034",654,15
"2382","SGV077",654,"SGV034",654,16
"2383","SGV078",654,"SGV034",654,15
"2384","SGV079",654,"SGV034",654,16
"2385","SGV080",654,"SGV034",654,18
"2390","SGV004",654,"SGV035",654,100
"2406","SGV021",654,"SGV035",654,2
"2407","SGV022",654,"SGV035",654,12
"2408","SGV023",654,"SGV035",654,12
"2409","SGV025",654,"SGV035",654,2
"2410","SGV026",654,"SGV035",654,2
"2412","SGV028",654,"SGV035",654,12
"2413","SGV029",654,"SGV035",654,3
"2414","SGV030",654,"SGV035",654,7
"2415","SGV031",654,"SGV035",654,12
"2416","SGV032",654,"SGV035",654,14
"2417","SGV033",654,"SGV035",654,6
"2418","SGV034",654,"SGV035",654,15
"2419","SGV035",654,"SGV035",654,0
"2420","SGV036",654,"SGV035",654,2
"2421","SGV037",654,"SGV035",654,3
"2422","SGV038",654,"SGV035",654,15
"2423","SGV039",654,"SGV035",654,1
"2424","SGV040",654,"SGV035",654,15
"2425","SGV041",654,"SGV035",654,5
"2426","SGV042",654,"SGV035",654,13
"2427","SGV043",654,"SGV035",654,8
"2428","SGV044",654,"SGV035",654,6
"2429","SGV045",654,"SGV035",654,16
"2430","SGV046",654,"SGV035",654,14
"2431","SGV047",654,"SGV035",654,8
"2432","SGV048",654,"SGV035",654,13
"2433","SGV049",654,"SGV035",654,14
"2434","SGV050",654,"SGV035",654,12
"2435","SGV051",654,"SGV035",654,17
"2436","SGV052",654,"SGV035",654,11
"2437","SGV053",654,"SGV035",654,12
"2438","SGV054",654,"SGV035",654,2
"2439","SGV055",654,"SGV035",654,12
"2440","SGV056",654,"SGV035",654,13
"2441","SGV057",654,"SGV035",654,11
"2442","SGV058",654,"SGV035",654,11
"2443","SGV059",654,"SGV035",654,9
"2444","SGV060",654,"SGV035",654,20
"2445","SGV061",654,"SGV035",654,18
"2446","SGV062",654,"SGV035",654,9
"2447","SGV063",654,"SGV035",654,5
"2448","SGV064",654,"SGV035",654,16
"2449","SGV065",654,"SGV035",654,13
"2450","SGV066",654,"SGV035",654,6
"2451","SGV067",654,"SGV035",654,15
"2452","SGV068",654,"SGV035",654,9
"2453","SGV069",654,"SGV035",654,17
"2454","SGV070",654,"SGV035",654,12
"2455","SGV071",654,"SGV035",654,5
"2456","SGV072",654,"SGV035",654,13
"2457","SGV073",654,"SGV035",654,12
"2458","SGV075",654,"SGV035",654,10
"2459","SGV077",654,"SGV035",654,11
"2460","SGV078",654,"SGV035",654,10
"2461","SGV079",654,"SGV035",654,19
"2462","SGV080",654,"SGV035",654,13
"2467","SGV004",654,"SGV036",654,100
"2483","SGV021",654,"SGV036",654,2
"2484","SGV022",654,"SGV036",654,12
"2485","SGV023",654,"SGV036",654,12
"2486","SGV025",654,"SGV036",654,2
"2487","SGV026",654,"SGV036",654,2
"2489","SGV028",654,"SGV036",654,12
"2490","SGV029",654,"SGV036",654,3
"2491","SGV030",654,"SGV036",654,7
"2492","SGV031",654,"SGV036",654,12
"2493","SGV032",654,"SGV036",654,14
"2494","SGV033",654,"SGV036",654,6
"2495","SGV034",654,"SGV036",654,15
"2496","SGV035",654,"SGV036",654,2
"2497","SGV036",654,"SGV036",654,0
"2498","SGV037",654,"SGV036",654,5
"2499","SGV038",654,"SGV036",654,15
"2500","SGV039",654,"SGV036",654,1
"2501","SGV040",654,"SGV036",654,15
"2502","SGV041",654,"SGV036",654,5
"2503","SGV042",654,"SGV036",654,13
"2504","SGV043",654,"SGV036",654,8
"2505","SGV044",654,"SGV036",654,6
"2506","SGV045",654,"SGV036",654,16
"2507","SGV046",654,"SGV036",654,14
"2508","SGV047",654,"SGV036",654,10
"2509","SGV048",654,"SGV036",654,13
"2510","SGV049",654,"SGV036",654,14
"2511","SGV050",654,"SGV036",654,12
"2512","SGV051",654,"SGV036",654,17
"2513","SGV052",654,"SGV036",654,11
"2514","SGV053",654,"SGV036",654,12
"2515","SGV054",654,"SGV036",654,2
"2516","SGV055",654,"SGV036",654,12
"2517","SGV056",654,"SGV036",654,13
"2518","SGV057",654,"SGV036",654,11
"2519","SGV058",654,"SGV036",654,11
"2520","SGV059",654,"SGV036",654,9
"2521","SGV060",654,"SGV036",654,20
"2522","SGV061",654,"SGV036",654,18
"2523","SGV062",654,"SGV036",654,9
"2524","SGV063",654,"SGV036",654,5
"2525","SGV064",654,"SGV036",654,16
"2526","SGV065",654,"SGV036",654,13
"2527","SGV066",654,"SGV036",654,6
"2528","SGV067",654,"SGV036",654,15
"2529","SGV068",654,"SGV036",654,11
"2530","SGV069",654,"SGV036",654,17
"2531","SGV070",654,"SGV036",654,12
"2532","SGV071",654,"SGV036",654,5
"2533","SGV072",654,"SGV036",654,13
"2534","SGV073",654,"SGV036",654,12
"2535","SGV075",654,"SGV036",654,10
"2536","SGV077",654,"SGV036",654,11
"2537","SGV078",654,"SGV036",654,10
"2538","SGV079",654,"SGV036",654,19
"2539","SGV080",654,"SGV036",654,13
"2544","SGV004",654,"SGV037",654,103
"2560","SGV021",654,"SGV037",654,3
"2561","SGV022",654,"SGV037",654,15
"2562","SGV023",654,"SGV037",654,15
"2563","SGV025",654,"SGV037",654,3
"2564","SGV026",654,"SGV037",654,5
"2566","SGV028",654,"SGV037",654,15
"2567","SGV029",654,"SGV037",654,4
"2568","SGV030",654,"SGV037",654,8
"2569","SGV031",654,"SGV037",654,15
"2570","SGV032",654,"SGV037",654,17
"2571","SGV033",654,"SGV037",654,7
"2572","SGV034",654,"SGV037",654,18
"2573","SGV035",654,"SGV037",654,3
"2574","SGV036",654,"SGV037",654,5
"2575","SGV037",654,"SGV037",654,0
"2576","SGV038",654,"SGV037",654,18
"2577","SGV039",654,"SGV037",654,4
"2578","SGV040",654,"SGV037",654,18
"2579","SGV041",654,"SGV037",654,6
"2580","SGV042",654,"SGV037",654,16
"2581","SGV043",654,"SGV037",654,9
"2582","SGV044",654,"SGV037",654,7
"2583","SGV045",654,"SGV037",654,19
"2584","SGV046",654,"SGV037",654,17
"2585","SGV047",654,"SGV037",654,7
"2586","SGV048",654,"SGV037",654,16
"2587","SGV049",654,"SGV037",654,17
"2588","SGV050",654,"SGV037",654,15
"2589","SGV051",654,"SGV037",654,20
"2590","SGV052",654,"SGV037",654,14
"2591","SGV053",654,"SGV037",654,15
"2592","SGV054",654,"SGV037",654,5
"2593","SGV055",654,"SGV037",654,15
"2594","SGV056",654,"SGV037",654,16
"2595","SGV057",654,"SGV037",654,14
"2596","SGV058",654,"SGV037",654,14
"2597","SGV059",654,"SGV037",654,12
"2598","SGV060",654,"SGV037",654,23
"2599","SGV061",654,"SGV037",654,21
"2600","SGV062",654,"SGV037",654,12
"2601","SGV063",654,"SGV037",654,6
"2602","SGV064",654,"SGV037",654,19
"2603","SGV065",654,"SGV037",654,16
"2604","SGV066",654,"SGV037",654,7
"2605","SGV067",654,"SGV037",654,18
"2606","SGV068",654,"SGV037",654,8
"2607","SGV069",654,"SGV037",654,20
"2608","SGV070",654,"SGV037",654,15
"2609","SGV071",654,"SGV037",654,8
"2610","SGV072",654,"SGV037",654,16
"2611","SGV073",654,"SGV037",654,15
"2612","SGV075",654,"SGV037",654,13
"2613","SGV077",654,"SGV037",654,14
"2614","SGV078",654,"SGV037",654,13
"2615","SGV079",654,"SGV037",654,22
"2616","SGV080",654,"SGV037",654,16
"2621","SGV004",654,"SGV038",654,103
"2637","SGV021",654,"SGV038",654,15
"2638","SGV022",654,"SGV038",654,17
"2639","SGV023",654,"SGV038",654,3
"2640","SGV025",654,"SGV038",654,15
"2641","SGV026",654,"SGV038",654,15
"2643","SGV028",654,"SGV038",654,9
"2644","SGV029",654,"SGV038",654,16
"2645","SGV030",654,"SGV038",654,19
"2646","SGV031",654,"SGV038",654,7
"2647","SGV032",654,"SGV038",654,9
"2648","SGV033",654,"SGV038",654,19
"2649","SGV034",654,"SGV038",654,12
"2650","SGV035",654,"SGV038",654,15
"2651","SGV036",654,"SGV038",654,15
"2652","SGV037",654,"SGV038",654,18
"2653","SGV038",654,"SGV038",654,0
"2654","SGV039",654,"SGV038",654,14
"2655","SGV040",654,"SGV038",654,12
"2656","SGV041",654,"SGV038",654,18
"2657","SGV042",654,"SGV038",654,18
"2658","SGV043",654,"SGV038",654,21
"2659","SGV044",654,"SGV038",654,19
"2660","SGV045",654,"SGV038",654,13
"2661","SGV046",654,"SGV038",654,19
"2662","SGV047",654,"SGV038",654,23
"2663","SGV048",654,"SGV038",654,19
"2664","SGV049",654,"SGV038",654,11
"2665","SGV050",654,"SGV038",654,17
"2666","SGV051",654,"SGV038",654,12
"2667","SGV052",654,"SGV038",654,16
"2668","SGV053",654,"SGV038",654,17
"2669","SGV054",654,"SGV038",654,15
"2670","SGV055",654,"SGV038",654,18
"2671","SGV056",654,"SGV038",654,18
"2672","SGV057",654,"SGV038",654,16
"2673","SGV058",654,"SGV038",654,16
"2674","SGV059",654,"SGV038",654,14
"2675","SGV060",654,"SGV038",654,17
"2676","SGV061",654,"SGV038",654,23
"2677","SGV062",654,"SGV038",654,16
"2678","SGV063",654,"SGV038",654,18
"2679","SGV064",654,"SGV038",654,11
"2680","SGV065",654,"SGV038",654,18
"2681","SGV066",654,"SGV038",654,19
"2682","SGV067",654,"SGV038",654,20
"2683","SGV068",654,"SGV038",654,24
"2684","SGV069",654,"SGV038",654,12
"2685","SGV070",654,"SGV038",654,17
"2686","SGV071",654,"SGV038",654,10
"2687","SGV072",654,"SGV038",654,10
"2688","SGV073",654,"SGV038",654,17
"2689","SGV075",654,"SGV038",654,15
"2690","SGV077",654,"SGV038",654,16
"2691","SGV078",654,"SGV038",654,15
"2692","SGV079",654,"SGV038",654,14
"2693","SGV080",654,"SGV038",654,18
"2698","SGV004",654,"SGV039",654,99
"2714","SGV021",654,"SGV039",654,1
"2715","SGV022",654,"SGV039",654,11
"2716","SGV023",654,"SGV039",654,11
"2717","SGV025",654,"SGV039",654,1
"2718","SGV026",654,"SGV039",654,1
"2720","SGV028",654,"SGV039",654,11
"2721","SGV029",654,"SGV039",654,2
"2722","SGV030",654,"SGV039",654,6
"2723","SGV031",654,"SGV039",654,11
"2724","SGV032",654,"SGV039",654,13
"2725","SGV033",654,"SGV039",654,5
"2726","SGV034",654,"SGV039",654,14
"2727","SGV035",654,"SGV039",654,1
"2728","SGV036",654,"SGV039",654,1
"2729","SGV037",654,"SGV039",654,4
"2730","SGV038",654,"SGV039",654,14
"2731","SGV039",654,"SGV039",654,0
"2732","SGV040",654,"SGV039",654,14
"2733","SGV041",654,"SGV039",654,4
"2734","SGV042",654,"SGV039",654,12
"2735","SGV043",654,"SGV039",654,7
"2736","SGV044",654,"SGV039",654,5
"2737","SGV045",654,"SGV039",654,15
"2738","SGV046",654,"SGV039",654,13
"2739","SGV047",654,"SGV039",654,9
"2740","SGV048",654,"SGV039",654,12
"2741","SGV049",654,"SGV039",654,13
"2742","SGV050",654,"SGV039",654,11
"2743","SGV051",654,"SGV039",654,16
"2744","SGV052",654,"SGV039",654,10
"2745","SGV053",654,"SGV039",654,11
"2746","SGV054",654,"SGV039",654,1
"2747","SGV055",654,"SGV039",654,11
"2748","SGV056",654,"SGV039",654,12
"2749","SGV057",654,"SGV039",654,10
"2750","SGV058",654,"SGV039",654,10
"2751","SGV059",654,"SGV039",654,8
"2752","SGV060",654,"SGV039",654,19
"2753","SGV061",654,"SGV039",654,17
"2754","SGV062",654,"SGV039",654,8
"2755","SGV063",654,"SGV039",654,4
"2756","SGV064",654,"SGV039",654,15
"2757","SGV065",654,"SGV039",654,12
"2758","SGV066",654,"SGV039",654,5
"2759","SGV067",654,"SGV039",654,14
"2760","SGV068",654,"SGV039",654,10
"2761","SGV069",654,"SGV039",654,16
"2762","SGV070",654,"SGV039",654,11
"2763","SGV071",654,"SGV039",654,4
"2764","SGV072",654,"SGV039",654,12
"2765","SGV073",654,"SGV039",654,11
"2766","SGV075",654,"SGV039",654,9
"2767","SGV077",654,"SGV039",654,10
"2768","SGV078",654,"SGV039",654,9
"2769","SGV079",654,"SGV039",654,18
"2770","SGV080",654,"SGV039",654,12
"2775","SGV004",654,"SGV040",654,105
"2791","SGV021",654,"SGV040",654,15
"2792","SGV022",654,"SGV040",654,19
"2793","SGV023",654,"SGV040",654,9
"2794","SGV025",654,"SGV040",654,15
"2795","SGV026",654,"SGV040",654,15
"2797","SGV028",654,"SGV040",654,11
"2798","SGV029",654,"SGV040",654,16
"2799","SGV030",654,"SGV040",654,19
"2800","SGV031",654,"SGV040",654,7
"2801","SGV032",654,"SGV040",654,9
"2802","SGV033",654,"SGV040",654,19
"2803","SGV034",654,"SGV040",654,14
"2804","SGV035",654,"SGV040",654,15
"2805","SGV036",654,"SGV040",654,15
"2806","SGV037",654,"SGV040",654,18
"2807","SGV038",654,"SGV040",654,12
"2808","SGV039",654,"SGV040",654,14
"2809","SGV040",654,"SGV040",654,0
"2810","SGV041",654,"SGV040",654,18
"2811","SGV042",654,"SGV040",654,20
"2812","SGV043",654,"SGV040",654,21
"2813","SGV044",654,"SGV040",654,19
"2814","SGV045",654,"SGV040",654,15
"2815","SGV046",654,"SGV040",654,21
"2816","SGV047",654,"SGV040",654,23
"2817","SGV048",654,"SGV040",654,20
"2818","SGV049",654,"SGV040",654,13
"2819","SGV050",654,"SGV040",654,19
"2820","SGV051",654,"SGV040",654,10
"2821","SGV052",654,"SGV040",654,18
"2822","SGV053",654,"SGV040",654,19
"2823","SGV054",654,"SGV040",654,15
"2824","SGV055",654,"SGV040",654,19
"2825","SGV056",654,"SGV040",654,20
"2826","SGV057",654,"SGV040",654,18
"2827","SGV058",654,"SGV040",654,18
"2828","SGV059",654,"SGV040",654,16
"2829","SGV060",654,"SGV040",654,19
"2830","SGV061",654,"SGV040",654,25
"2831","SGV062",654,"SGV040",654,16
"2832","SGV063",654,"SGV040",654,18
"2833","SGV064",654,"SGV040",654,9
"2834","SGV065",654,"SGV040",654,20
"2835","SGV066",654,"SGV040",654,19
"2836","SGV067",654,"SGV040",654,22
"2837","SGV068",654,"SGV040",654,24
"2838","SGV069",654,"SGV040",654,12
"2839","SGV070",654,"SGV040",654,19
"2840","SGV071",654,"SGV040",654,12
"2841","SGV072",654,"SGV040",654,12
"2842","SGV073",654,"SGV040",654,19
"2843","SGV075",654,"SGV040",654,17
"2844","SGV077",654,"SGV040",654,18
"2845","SGV078",654,"SGV040",654,17
"2846","SGV079",654,"SGV040",654,12
"2847","SGV080",654,"SGV040",654,20
"2852","SGV004",654,"SGV041",654,103
"2868","SGV021",654,"SGV041",654,3
"2869","SGV022",654,"SGV041",654,15
"2870","SGV023",654,"SGV041",654,15
"2871","SGV025",654,"SGV041",654,3
"2872","SGV026",654,"SGV041",654,5
"2874","SGV028",654,"SGV041",654,15
"2875","SGV029",654,"SGV041",654,4
"2876","SGV030",654,"SGV041",654,6
"2877","SGV031",654,"SGV041",654,15
"2878","SGV032",654,"SGV041",654,17
"2879","SGV033",654,"SGV041",654,7
"2880","SGV034",654,"SGV041",654,18
"2881","SGV035",654,"SGV041",654,5
"2882","SGV036",654,"SGV041",654,5
"2883","SGV037",654,"SGV041",654,6
"2884","SGV038",654,"SGV041",654,18
"2885","SGV039",654,"SGV041",654,4
"2886","SGV040",654,"SGV041",654,18
"2887","SGV041",654,"SGV041",654,0
"2888","SGV042",654,"SGV041",654,16
"2889","SGV043",654,"SGV041",654,9
"2890","SGV044",654,"SGV041",654,5
"2891","SGV045",654,"SGV041",654,19
"2892","SGV046",654,"SGV041",654,17
"2893","SGV047",654,"SGV041",654,11
"2894","SGV048",654,"SGV041",654,16
"2895","SGV049",654,"SGV041",654,17
"2896","SGV050",654,"SGV041",654,15
"2897","SGV051",654,"SGV041",654,20
"2898","SGV052",654,"SGV041",654,14
"2899","SGV053",654,"SGV041",654,15
"2900","SGV054",654,"SGV041",654,5
"2901","SGV055",654,"SGV041",654,15
"2902","SGV056",654,"SGV041",654,16
"2903","SGV057",654,"SGV041",654,14
"2904","SGV058",654,"SGV041",654,14
"2905","SGV059",654,"SGV041",654,12
"2906","SGV060",654,"SGV041",654,23
"2907","SGV061",654,"SGV041",654,21
"2908","SGV062",654,"SGV041",654,12
"2909","SGV063",654,"SGV041",654,6
"2910","SGV064",654,"SGV041",654,19
"2911","SGV065",654,"SGV041",654,16
"2912","SGV066",654,"SGV041",654,7
"2913","SGV067",654,"SGV041",654,18
"2914","SGV068",654,"SGV041",654,12
"2915","SGV069",654,"SGV041",654,20
"2916","SGV070",654,"SGV041",654,15
"2917","SGV071",654,"SGV041",654,8
"2918","SGV072",654,"SGV041",654,16
"2919","SGV073",654,"SGV041",654,15
"2920","SGV075",654,"SGV041",654,13
"2921","SGV077",654,"SGV041",654,14
"2922","SGV078",654,"SGV041",654,13
"2923","SGV079",654,"SGV041",654,22
"2924","SGV080",654,"SGV041",654,16
"2929","SGV004",654,"SGV042",654,103
"2945","SGV021",654,"SGV042",654,13
"2946","SGV022",654,"SGV042",654,15
"2947","SGV023",654,"SGV042",654,15
"2948","SGV025",654,"SGV042",654,13
"2949","SGV026",654,"SGV042",654,13
"2951","SGV028",654,"SGV042",654,15
"2952","SGV029",654,"SGV042",654,13
"2953","SGV030",654,"SGV042",654,18
"2954","SGV031",654,"SGV042",654,15
"2955","SGV032",654,"SGV042",654,17
"2956","SGV033",654,"SGV042",654,17
"2957","SGV034",654,"SGV042",654,18
"2958","SGV035",654,"SGV042",654,13
"2959","SGV036",654,"SGV042",654,13
"2960","SGV037",654,"SGV042",654,16
"2961","SGV038",654,"SGV042",654,18
"2962","SGV039",654,"SGV042",654,12
"2963","SGV040",654,"SGV042",654,20
"2964","SGV041",654,"SGV042",654,16
"2965","SGV042",654,"SGV042",654,0
"2966","SGV043",654,"SGV042",654,19
"2967","SGV044",654,"SGV042",654,17
"2968","SGV045",654,"SGV042",654,19
"2969","SGV046",654,"SGV042",654,17
"2970","SGV047",654,"SGV042",654,21
"2971","SGV048",654,"SGV042",654,17
"2972","SGV049",654,"SGV042",654,17
"2973","SGV050",654,"SGV042",654,15
"2974","SGV051",654,"SGV042",654,20
"2975","SGV052",654,"SGV042",654,14
"2976","SGV053",654,"SGV042",654,15
"2977","SGV054",654,"SGV042",654,13
"2978","SGV055",654,"SGV042",654,16
"2979","SGV056",654,"SGV042",654,16
"2980","SGV057",654,"SGV042",654,14
"2981","SGV058",654,"SGV042",654,14
"2982","SGV059",654,"SGV042",654,12
"2983","SGV060",654,"SGV042",654,23
"2984","SGV061",654,"SGV042",654,9
"2985","SGV062",654,"SGV042",654,14
"2986","SGV063",654,"SGV042",654,16
"2987","SGV064",654,"SGV042",654,19
"2988","SGV065",654,"SGV042",654,4
"2989","SGV066",654,"SGV042",654,17
"2990","SGV067",654,"SGV042",654,18
"2991","SGV068",654,"SGV042",654,22
"2992","SGV069",654,"SGV042",654,20
"2993","SGV070",654,"SGV042",654,15
"2994","SGV071",654,"SGV042",654,8
"2995","SGV072",654,"SGV042",654,16
"2996","SGV073",654,"SGV042",654,15
"2997","SGV075",654,"SGV042",654,13
"2998","SGV077",654,"SGV042",654,14
"2999","SGV078",654,"SGV042",654,13
"3000","SGV079",654,"SGV042",654,22
"3001","SGV080",654,"SGV042",654,16
"3006","SGV004",654,"SGV043",654,106
"3022","SGV021",654,"SGV043",654,6
"3023","SGV022",654,"SGV043",654,18
"3024","SGV023",654,"SGV043",654,18
"3025","SGV025",654,"SGV043",654,6
"3026","SGV026",654,"SGV043",654,8
"3028","SGV028",654,"SGV043",654,18
"3029","SGV029",654,"SGV043",654,7
"3030","SGV030",654,"SGV043",654,11
"3031","SGV031",654,"SGV043",654,18
"3032","SGV032",654,"SGV043",654,20
"3033","SGV033",654,"SGV043",654,10
"3034","SGV034",654,"SGV043",654,21
"3035","SGV035",654,"SGV043",654,8
"3036","SGV036",654,"SGV043",654,8
"3037","SGV037",654,"SGV043",654,9
"3038","SGV038",654,"SGV043",654,21
"3039","SGV039",654,"SGV043",654,7
"3040","SGV040",654,"SGV043",654,21
"3041","SGV041",654,"SGV043",654,9
"3042","SGV042",654,"SGV043",654,19
"3043","SGV043",654,"SGV043",654,0
"3044","SGV044",654,"SGV043",654,10
"3045","SGV045",654,"SGV043",654,22
"3046","SGV046",654,"SGV043",654,20
"3047","SGV047",654,"SGV043",654,14
"3048","SGV048",654,"SGV043",654,19
"3049","SGV049",654,"SGV043",654,20
"3050","SGV050",654,"SGV043",654,18
"3051","SGV051",654,"SGV043",654,23
"3052","SGV052",654,"SGV043",654,17
"3053","SGV053",654,"SGV043",654,18
"3054","SGV054",654,"SGV043",654,8
"3055","SGV055",654,"SGV043",654,18
"3056","SGV056",654,"SGV043",654,19
"3057","SGV057",654,"SGV043",654,17
"3058","SGV058",654,"SGV043",654,17
"3059","SGV059",654,"SGV043",654,15
"3060","SGV060",654,"SGV043",654,26
"3061","SGV061",654,"SGV043",654,24
"3062","SGV062",654,"SGV043",654,15
"3063","SGV063",654,"SGV043",654,9
"3064","SGV064",654,"SGV043",654,22
"3065","SGV065",654,"SGV043",654,19
"3066","SGV066",654,"SGV043",654,8
"3067","SGV067",654,"SGV043",654,21
"3068","SGV068",654,"SGV043",654,15
"3069","SGV069",654,"SGV043",654,23
"3070","SGV070",654,"SGV043",654,18
"3071","SGV071",654,"SGV043",654,11
"3072","SGV072",654,"SGV043",654,19
"3073","SGV073",654,"SGV043",654,18
"3074","SGV075",654,"SGV043",654,16
"3075","SGV077",654,"SGV043",654,17
"3076","SGV078",654,"SGV043",654,16
"3077","SGV079",654,"SGV043",654,25
"3078","SGV080",654,"SGV043",654,19
"3083","SGV004",654,"SGV044",654,104
"3099","SGV021",654,"SGV044",654,4
"3100","SGV022",654,"SGV044",654,16
"3101","SGV023",654,"SGV044",654,16
"3102","SGV025",654,"SGV044",654,4
"3103","SGV026",654,"SGV044",654,6
"3105","SGV028",654,"SGV044",654,16
"3106","SGV029",654,"SGV044",654,5
"3107","SGV030",654,"SGV044",654,7
"3108","SGV031",654,"SGV044",654,16
"3109","SGV032",654,"SGV044",654,18
"3110","SGV033",654,"SGV044",654,8
"3111","SGV034",654,"SGV044",654,19
"3112","SGV035",654,"SGV044",654,6
"3113","SGV036",654,"SGV044",654,6
"3114","SGV037",654,"SGV044",654,7
"3115","SGV038",654,"SGV044",654,19
"3116","SGV039",654,"SGV044",654,5
"3117","SGV040",654,"SGV044",654,19
"3118","SGV041",654,"SGV044",654,5
"3119","SGV042",654,"SGV044",654,17
"3120","SGV043",654,"SGV044",654,10
"3121","SGV044",654,"SGV044",654,0
"3122","SGV045",654,"SGV044",654,20
"3123","SGV046",654,"SGV044",654,18
"3124","SGV047",654,"SGV044",654,12
"3125","SGV048",654,"SGV044",654,17
"3126","SGV049",654,"SGV044",654,18
"3127","SGV050",654,"SGV044",654,16
"3128","SGV051",654,"SGV044",654,21
"3129","SGV052",654,"SGV044",654,15
"3130","SGV053",654,"SGV044",654,16
"3131","SGV054",654,"SGV044",654,6
"3132","SGV055",654,"SGV044",654,16
"3133","SGV056",654,"SGV044",654,17
"3134","SGV057",654,"SGV044",654,15
"3135","SGV058",654,"SGV044",654,15
"3136","SGV059",654,"SGV044",654,13
"3137","SGV060",654,"SGV044",654,24
"3138","SGV061",654,"SGV044",654,22
"3139","SGV062",654,"SGV044",654,13
"3140","SGV063",654,"SGV044",654,7
"3141","SGV064",654,"SGV044",654,20
"3142","SGV065",654,"SGV044",654,17
"3143","SGV066",654,"SGV044",654,8
"3144","SGV067",654,"SGV044",654,19
"3145","SGV068",654,"SGV044",654,13
"3146","SGV069",654,"SGV044",654,21
"3147","SGV070",654,"SGV044",654,16
"3148","SGV071",654,"SGV044",654,9
"3149","SGV072",654,"SGV044",654,17
"3150","SGV073",654,"SGV044",654,16
"3151","SGV075",654,"SGV044",654,14
"3152","SGV077",654,"SGV044",654,15
"3153","SGV078",654,"SGV044",654,14
"3154","SGV079",654,"SGV044",654,23
"3155","SGV080",654,"SGV044",654,17
"3160","SGV004",654,"SGV045",654,104
"3176","SGV021",654,"SGV045",654,16
"3177","SGV022",654,"SGV045",654,18
"3178","SGV023",654,"SGV045",654,10
"3179","SGV025",654,"SGV045",654,16
"3180","SGV026",654,"SGV045",654,16
"3182","SGV028",654,"SGV045",654,4
"3183","SGV029",654,"SGV045",654,16
"3184","SGV030",654,"SGV045",654,21
"3185","SGV031",654,"SGV045",654,10
"3186","SGV032",654,"SGV045",654,12
"3187","SGV033",654,"SGV045",654,20
"3188","SGV034",654,"SGV045",654,7
"3189","SGV035",654,"SGV045",654,16
"3190","SGV036",654,"SGV045",654,16
"3191","SGV037",654,"SGV045",654,19
"3192","SGV038",654,"SGV045",654,13
"3193","SGV039",654,"SGV045",654,15
"3194","SGV040",654,"SGV045",654,15
"3195","SGV041",654,"SGV045",654,19
